bfield	diode	hall	time 		
324.1725336E-3	-4.0979627E+0	2.9997464E+0	29.7000008E+0
324.1769637E-3	-4.1033217E+0	2.9997873E+0	29.8000011E+0
324.1620808E-3	-4.1150704E+0	2.9996499E+0	29.8999996E+0
324.1556971E-3	-4.1097548E+0	2.9995909E+0	30.0000000E+0
324.1562167E-3	-4.0948628E+0	2.9995957E+0	30.1000004E+0
324.1516631E-3	-4.0865054E+0	2.9995537E+0	30.2000008E+0
324.1926539E-3	-4.0851001E+0	2.9999322E+0	30.3000011E+0
324.1662413E-3	-4.0857519E+0	2.9996883E+0	30.3999996E+0
324.1612757E-3	-4.0971073E+0	2.9996424E+0	30.5000000E+0
324.1606026E-3	-4.1082339E+0	2.9996362E+0	30.6000004E+0
324.1617585E-3	-4.1151408E+0	2.9996469E+0	30.7000008E+0
324.1679231E-3	-4.0914697E+0	2.9997038E+0	30.8000011E+0
324.1464191E-3	-4.0990270E+0	2.9995053E+0	30.8999996E+0
324.1492202E-3	-4.1049997E+0	2.9995311E+0	31.0000000E+0
324.1538614E-3	-4.0930869E+0	2.9995740E+0	31.1000004E+0
324.1689086E-3	-4.0810529E+0	2.9997129E+0	31.2000008E+0
324.1738007E-3	-4.0696658E+0	2.9997581E+0	31.3000011E+0
324.1812586E-3	-4.0576602E+0	2.9998269E+0	31.3999996E+0
324.1764403E-3	-4.0556909E+0	2.9997825E+0	31.5000000E+0
324.1804966E-3	-4.0352592E+0	2.9998199E+0	31.6000004E+0
324.1673248E-3	-4.0383993E+0	2.9996983E+0	31.7000008E+0
324.1627975E-3	-4.0681844E+0	2.9996565E+0	31.8000011E+0
324.1575759E-3	-4.0722360E+0	2.9996083E+0	31.8999996E+0
324.1715951E-3	-4.0759310E+0	2.9997377E+0	32.0000000E+0
324.1711610E-3	-4.0738479E+0	2.9997337E+0	32.1000023E+0
324.1710063E-3	-4.0622291E+0	2.9997323E+0	32.2000008E+0
324.1768978E-3	-4.0666221E+0	2.9997867E+0	32.2999992E+0
324.1808044E-3	-4.0839387E+0	2.9998228E+0	32.4000015E+0
324.1796870E-3	-4.0850075E+0	2.9998124E+0	32.5000000E+0
324.1614825E-3	-4.0743126E+0	2.9996443E+0	32.6000023E+0
324.1540564E-3	-4.0740059E+0	2.9995758E+0	32.7000008E+0
324.1473845E-3	-4.0794720E+0	2.9995142E+0	32.7999992E+0
324.1556401E-3	-4.0702495E+0	2.9995904E+0	32.9000015E+0
324.1684432E-3	-4.0644678E+0	2.9997086E+0	33.0000000E+0
324.1834060E-3	-4.0786485E+0	2.9998468E+0	33.1000023E+0
324.1533173E-3	-4.0859159E+0	2.9995690E+0	33.2000008E+0
324.1393801E-3	-4.0897902E+0	2.9994403E+0	33.2999992E+0
324.1435052E-3	-4.0845209E+0	2.9994783E+0	33.4000015E+0
324.1210437E-3	-4.0936487E+0	2.9992709E+0	33.5000000E+0
324.1576111E-3	-4.0943045E+0	2.9996086E+0	33.6000023E+0
324.1701745E-3	-4.1015934E+0	2.9997246E+0	33.7000008E+0
324.1535637E-3	-4.1068170E+0	2.9995712E+0	33.7999992E+0
324.1813625E-3	-4.1089687E+0	2.9998279E+0	33.9000015E+0
324.1533173E-3	-4.1137493E+0	2.9995690E+0	34.0000000E+0
324.1667265E-3	-4.0986991E+0	2.9996928E+0	34.1000023E+0
324.1735895E-3	-4.1033631E+0	2.9997561E+0	34.2000008E+0
324.1628782E-3	-4.1042518E+0	2.9996572E+0	34.2999992E+0
