angle,B,strength,E_i,v_i,E_f,v_f,id
0.1336513391166829,0.07683841920960481,0.7293679850153318,2.519117104209401,[-4.14936289e-05  1.06795041e-03  2.67273068e-02  9.99642190e-01],-6.82025824334959,[ 0.00206372 -0.13076641  0.99106061 -0.02635807],2->0
0.1336513391166829,0.03721860930465233,0.015585449008717554,4.16259322601356,[-6.66529862e-06  1.71650488e-04  1.15742648e-02  9.99933001e-01],-5.1765629391815215,[ 0.00958453 -0.99134572 -0.13091587  0.0016856 ],2->1
0.1336513391166829,0.112056028014007,2.1274024747168168e-05,10.382067992114214,[9.99689565e-01 2.49083169e-02 5.90448680e-04 2.28950595e-05],1.0627492950012036,[-1.35416661e-04  3.48302328e-03  4.36028234e-02  9.99042864e-01],3->2
0.13522370781217327,0.3145572786393197,0.8065733677302723,-1.2377332832155659,[ 0.05075699 -0.98920881 -0.1355525  -0.02269758],-10.558144630147043,[ 0.00427905 -0.12219111  0.94440828 -0.30519507],2->0
0.13522370781217327,0.07723861930965484,0.7288334754772746,2.5033819100904346,[-4.36021320e-05  1.10897687e-03  2.72120823e-02  9.99629067e-01],-6.826896275002102,[ 0.00211927 -0.13223629  0.99085287 -0.02682638],2->0
0.13522370781217327,0.7163581790895448,0.7554104189972158,-15.389583812891114,[ 0.00610042 -0.13264273  0.95713001  0.25743121],-24.71545150074063,[-9.34404855e-04  2.40391863e-02 -2.56542313e-01  9.66233557e-01],1->0
0.13522370781217327,0.03721860930465233,0.01593963535501141,4.162955279223263,[-6.90282748e-06  1.75673629e-04  1.17093581e-02  9.99931428e-01],-5.176272731335892,[ 0.00969516 -0.99114838 -0.13239304  0.00172454],2->1
0.13522370781217327,0.112056028014007,2.227393694226872e-05,10.381289006738225,[9.99682232e-01 2.52005770e-02 6.04411435e-04 2.37150235e-05],1.0641119939589332,[-1.40196409e-04  3.56338251e-03  4.41103066e-02  9.99020302e-01],3->2
0.13522370781217327,0.38779389694847427,0.4473048026266371,-0.2051629347917253,[ 0.05685018 -0.98907873 -0.13494895 -0.01673632],-9.52856435788595,[ 0.00371435 -0.09194753  0.57461722  0.81323238],2->1
0.13679607650766365,0.112056028014007,2.330800848999404e-05,10.380500940761689,[9.99674814e-01 2.54928096e-02 6.18536941e-04 2.45544204e-05],1.0654904276610986,[-1.45085340e-04  3.64458556e-03  4.46175944e-02  9.98997481e-01],3->2
0.13679607650766365,0.03721860930465233,0.016297306428031146,4.163321532590723,[-7.14591596e-06  1.79741977e-04  1.18444139e-02  9.99929836e-01],-5.175979414542032,[ 0.00980572 -0.99094907 -0.13386812  0.0017639 ],2->1
0.13679607650766365,0.3881940970485243,0.45110131664634834,-0.19769239854579826,[ 0.05753644 -0.98881857 -0.13650893 -0.01710853],-9.525722129073854,[ 0.00381988 -0.09341386  0.57653394  0.81170677],2->1
0.13679607650766365,0.07723861930965484,0.728358957592187,2.504232799007749,[-4.51317009e-05  1.13449429e-03  2.75252716e-02  9.99620463e-01],-6.827718655868408,[ 0.00216757 -0.13370615  0.99064733 -0.02712635],2->0
0.13679607650766365,0.31415707853926966,0.8041990438585248,-1.2417114302877128,[ 0.05130433 -0.98894787 -0.13714093 -0.02328828],-10.55957271343076,[ 0.00437063 -0.12346166  0.94392949 -0.30616212],2->0
0.13679607650766365,0.7155577788894447,0.7555444461302869,-15.370187325129494,[ 0.00624006 -0.13412311  0.956107    0.26044472],-24.690059653456704,[-0.00096748  0.02460679 -0.25952413  0.9654226 ],1->0
0.13836844520315406,0.7151575787893948,0.7556758432992303,-15.356539079332796,[ 0.0063821  -0.13560488  0.9551181   0.26328692],-24.68132482302852,[-0.00100049  0.02515951 -0.26233523  0.96464824],1->0
0.13836844520315406,0.31415707853926966,0.8010248151343269,-1.2400235895933076,[ 0.05188817 -0.98868367 -0.13872387 -0.02383064],-10.568570494367412,[ 0.00446262 -0.12466303  0.94309309 -0.30824445],2->0
0.13836844520315406,0.07723861930965484,0.7278798634119354,2.5050934158270683,[-4.66963074e-05  1.16028726e-03  2.78383489e-02  9.99611764e-01],-6.8285497975132285,[ 0.00221638 -0.13517378  0.99043978 -0.02742591],2->0
0.13836844520315406,0.3881940970485243,0.45279677056728607,-0.19583919099990416,[ 0.05819231 -0.98855641 -0.13807052 -0.01750472],-9.511156122461038,[ 0.00391849 -0.09468865  0.57673013  0.81141917],2->1
0.13836844520315406,0.112056028014007,2.437696185818743e-05,10.37970379524304,[9.99667311e-01 2.57850146e-02 6.32825177e-04 2.54134827e-05],1.0668845889636955,[-1.50084574e-04  3.72662917e-03  4.51246844e-02  9.98974400e-01],3->2
0.13836844520315406,0.03721860930465233,0.016658441496184548,4.163691984919955,[-7.39462738e-06  1.83855469e-04  1.19794316e-02  9.99928227e-01],-5.17568299818548,[ 0.0099162  -0.9907478  -0.13534107  0.00180367],2->1
0.13994081389864443,0.112056028014007,2.5481524472909864e-05,10.378897571252937,[9.99659722e-01 2.60771916e-02 6.47276123e-04 2.62924433e-05],1.0682944706373168,[-1.55195227e-04  3.80951008e-03  4.56315743e-02  9.98951061e-01],3->2
